Age (bin),Age,Answer,Negative Count,Category,Email Address,End Date,External Data Reference,Finished,Gender,IP Address,Location Accuracy,Location Latitude,Location Longitude,Name,Number of Records,QuestionID,Score,Question Text,Question ID,ResponseID (demographics),Response ID,Response Set,Start Date,Status,Type of Customer
60,60,Highly Satisfied,0,Reception,,8/7/17 13:20,,1,Female,,-1,24.8527163,-64.3533057,Anonymous,1,3,4,How satisfied were you with the following aspects of the restaurant experience?-Reception,3,R_6LnYGoRDm6jxnV3,R_6LnYGoRDm6jxnV3,Default Response Set,8/7/17 13:20,2,One-off
60,60,Satisfied,0,Reservation Process,,8/7/17 13:20,,1,Female,,-1,24.8527163,-64.3533057,Anonymous,1,1,3,How satisfied were you with the following aspects of the restaurant experience?-Reservation Process,1,R_6LnYGoRDm6jxnV3,R_6LnYGoRDm6jxnV3,Default Response Set,8/7/17 13:20,2,One-off
60,60,Highly Dissatisfied,1,Server,,8/7/17 13:20,,1,Female,,-1,24.8527163,-64.3533057,Anonymous,1,4,1,How satisfied were you with the following aspects of the restaurant experience?-Server,4,R_6LnYGoRDm6jxnV3,R_6LnYGoRDm6jxnV3,Default Response Set,8/7/17 13:20,2,One-off
60,60,Satisfied,0,Waiting Time,,8/7/17 13:20,,1,Female,,-1,24.8527163,-64.3533057,Anonymous,1,2,3,How satisfied were you with the following aspects of the restaurant experience?-Waiting Time,2,R_6LnYGoRDm6jxnV3,R_6LnYGoRDm6jxnV3,Default Response Set,8/7/17 13:20,2,One-off
20,23,Highly Satisfied,0,Cleanliness,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,6,4,How satisfied were you with the following aspects of the restaurant experience?-Cleanliness,6,R_7Ot70FTFmHJMqhv,R_7Ot70FTFmHJMqhv,Default Response Set,8/7/17 13:20,2,One-off
20,23,Highly Satisfied,0,Food,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,5,4,How satisfied were you with the following aspects of the restaurant experience?-Food,5,R_7Ot70FTFmHJMqhv,R_7Ot70FTFmHJMqhv,Default Response Set,8/7/17 13:20,2,One-off
20,23,Highly Satisfied,0,Reception,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,3,4,How satisfied were you with the following aspects of the restaurant experience?-Reception,3,R_7Ot70FTFmHJMqhv,R_7Ot70FTFmHJMqhv,Default Response Set,8/7/17 13:20,2,One-off
20,23,Dissatisfied,1,Reservation Process,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,1,2,How satisfied were you with the following aspects of the restaurant experience?-Reservation Process,1,R_7Ot70FTFmHJMqhv,R_7Ot70FTFmHJMqhv,Default Response Set,8/7/17 13:20,2,One-off
20,23,Dissatisfied,1,Server,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,4,2,How satisfied were you with the following aspects of the restaurant experience?-Server,4,R_7Ot70FTFmHJMqhv,R_7Ot70FTFmHJMqhv,Default Response Set,8/7/17 13:20,2,One-off
20,23,Highly Dissatisfied,1,Waiting Time,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,2,1,How satisfied were you with the following aspects of the restaurant experience?-Waiting Time,2,R_7Ot70FTFmHJMqhv,R_7Ot70FTFmHJMqhv,Default Response Set,8/7/17 13:20,2,One-off
40,58,Highly Dissatisfied,1,Cleanliness,,8/7/17 13:20,,1,Female,,-1,24.8527163,-64.3533057,Anonymous,1,6,1,How satisfied were you with the following aspects of the restaurant experience?-Cleanliness,6,R_08U8FYs86pQwfYN,R_08U8FYs86pQwfYN,Default Response Set,8/7/17 13:20,2,Casual
40,58,Highly Dissatisfied,1,Food,,8/7/17 13:20,,1,Female,,-1,24.8527163,-64.3533057,Anonymous,1,5,1,How satisfied were you with the following aspects of the restaurant experience?-Food,5,R_08U8FYs86pQwfYN,R_08U8FYs86pQwfYN,Default Response Set,8/7/17 13:20,2,Casual
40,58,Satisfied,0,Reception,,8/7/17 13:20,,1,Female,,-1,24.8527163,-64.3533057,Anonymous,1,3,3,How satisfied were you with the following aspects of the restaurant experience?-Reception,3,R_08U8FYs86pQwfYN,R_08U8FYs86pQwfYN,Default Response Set,8/7/17 13:20,2,Casual
40,58,Highly Dissatisfied,1,Reservation Process,,8/7/17 13:20,,1,Female,,-1,24.8527163,-64.3533057,Anonymous,1,1,1,How satisfied were you with the following aspects of the restaurant experience?-Reservation Process,1,R_08U8FYs86pQwfYN,R_08U8FYs86pQwfYN,Default Response Set,8/7/17 13:20,2,Casual
40,58,Dissatisfied,1,Server,,8/7/17 13:20,,1,Female,,-1,24.8527163,-64.3533057,Anonymous,1,4,2,How satisfied were you with the following aspects of the restaurant experience?-Server,4,R_08U8FYs86pQwfYN,R_08U8FYs86pQwfYN,Default Response Set,8/7/17 13:20,2,Casual
40,58,Highly Dissatisfied,1,Waiting Time,,8/7/17 13:20,,1,Female,,-1,24.8527163,-64.3533057,Anonymous,1,2,1,How satisfied were you with the following aspects of the restaurant experience?-Waiting Time,2,R_08U8FYs86pQwfYN,R_08U8FYs86pQwfYN,Default Response Set,8/7/17 13:20,2,Casual
60,68,Satisfied,0,Cleanliness,,8/7/17 13:20,,1,Female,,-1,24.8527163,-64.3533057,Anonymous,1,6,3,How satisfied were you with the following aspects of the restaurant experience?-Cleanliness,6,R_80xTuYohiZwm57v,R_80xTuYohiZwm57v,Default Response Set,8/7/17 13:20,2,One-off
60,68,Highly Satisfied,0,Food,,8/7/17 13:20,,1,Female,,-1,24.8527163,-64.3533057,Anonymous,1,5,4,How satisfied were you with the following aspects of the restaurant experience?-Food,5,R_80xTuYohiZwm57v,R_80xTuYohiZwm57v,Default Response Set,8/7/17 13:20,2,One-off
60,68,Satisfied,0,Reception,,8/7/17 13:20,,1,Female,,-1,24.8527163,-64.3533057,Anonymous,1,3,3,How satisfied were you with the following aspects of the restaurant experience?-Reception,3,R_80xTuYohiZwm57v,R_80xTuYohiZwm57v,Default Response Set,8/7/17 13:20,2,One-off
60,68,Highly Dissatisfied,1,Reservation Process,,8/7/17 13:20,,1,Female,,-1,24.8527163,-64.3533057,Anonymous,1,1,1,How satisfied were you with the following aspects of the restaurant experience?-Reservation Process,1,R_80xTuYohiZwm57v,R_80xTuYohiZwm57v,Default Response Set,8/7/17 13:20,2,One-off
60,68,Highly Satisfied,0,Server,,8/7/17 13:20,,1,Female,,-1,24.8527163,-64.3533057,Anonymous,1,4,4,How satisfied were you with the following aspects of the restaurant experience?-Server,4,R_80xTuYohiZwm57v,R_80xTuYohiZwm57v,Default Response Set,8/7/17 13:20,2,One-off
60,68,Dissatisfied,1,Waiting Time,,8/7/17 13:20,,1,Female,,-1,24.8527163,-64.3533057,Anonymous,1,2,2,How satisfied were you with the following aspects of the restaurant experience?-Waiting Time,2,R_80xTuYohiZwm57v,R_80xTuYohiZwm57v,Default Response Set,8/7/17 13:20,2,One-off
60,62,Highly Satisfied,0,Cleanliness,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,6,4,How satisfied were you with the following aspects of the restaurant experience?-Cleanliness,6,R_1FVC9GgjykblJ5z,R_1FVC9GgjykblJ5z,Default Response Set,8/7/17 13:20,2,Casual
20,31,Dissatisfied,1,Cleanliness,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,6,2,How satisfied were you with the following aspects of the restaurant experience?-Cleanliness,6,R_1XHUNhASYaUr2pn,R_1XHUNhASYaUr2pn,Default Response Set,8/7/17 13:20,2,Casual
40,51,Dissatisfied,1,Cleanliness,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,6,2,How satisfied were you with the following aspects of the restaurant experience?-Cleanliness,6,R_3kCIegfvjItATdz,R_3kCIegfvjItATdz,Default Response Set,8/7/17 13:20,2,Casual
40,50,Highly Satisfied,0,Cleanliness,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,6,4,How satisfied were you with the following aspects of the restaurant experience?-Cleanliness,6,R_b7sUnAB6Vr32JEN,R_b7sUnAB6Vr32JEN,Default Response Set,8/7/17 13:20,2,Casual
60,73,Satisfied,0,Cleanliness,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,6,3,How satisfied were you with the following aspects of the restaurant experience?-Cleanliness,6,R_bk3C15cyqF3IoJv,R_bk3C15cyqF3IoJv,Default Response Set,8/7/17 13:20,2,Casual
60,62,Highly Satisfied,0,Food,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,5,4,How satisfied were you with the following aspects of the restaurant experience?-Food,5,R_1FVC9GgjykblJ5z,R_1FVC9GgjykblJ5z,Default Response Set,8/7/17 13:20,2,Casual
20,31,Highly Satisfied,0,Food,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,5,4,How satisfied were you with the following aspects of the restaurant experience?-Food,5,R_1XHUNhASYaUr2pn,R_1XHUNhASYaUr2pn,Default Response Set,8/7/17 13:20,2,Casual
40,51,Highly Satisfied,0,Food,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,5,4,How satisfied were you with the following aspects of the restaurant experience?-Food,5,R_3kCIegfvjItATdz,R_3kCIegfvjItATdz,Default Response Set,8/7/17 13:20,2,Casual
40,50,Highly Satisfied,0,Food,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,5,4,How satisfied were you with the following aspects of the restaurant experience?-Food,5,R_b7sUnAB6Vr32JEN,R_b7sUnAB6Vr32JEN,Default Response Set,8/7/17 13:20,2,Casual
60,73,Highly Satisfied,0,Food,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,5,4,How satisfied were you with the following aspects of the restaurant experience?-Food,5,R_bk3C15cyqF3IoJv,R_bk3C15cyqF3IoJv,Default Response Set,8/7/17 13:20,2,Casual
60,62,Dissatisfied,1,Reception,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,3,2,How satisfied were you with the following aspects of the restaurant experience?-Reception,3,R_1FVC9GgjykblJ5z,R_1FVC9GgjykblJ5z,Default Response Set,8/7/17 13:20,2,Casual
20,31,Dissatisfied,1,Reception,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,3,2,How satisfied were you with the following aspects of the restaurant experience?-Reception,3,R_1XHUNhASYaUr2pn,R_1XHUNhASYaUr2pn,Default Response Set,8/7/17 13:20,2,Casual
40,51,Highly Dissatisfied,1,Reception,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,3,1,How satisfied were you with the following aspects of the restaurant experience?-Reception,3,R_3kCIegfvjItATdz,R_3kCIegfvjItATdz,Default Response Set,8/7/17 13:20,2,Casual
40,50,Highly Satisfied,0,Reception,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,3,4,How satisfied were you with the following aspects of the restaurant experience?-Reception,3,R_b7sUnAB6Vr32JEN,R_b7sUnAB6Vr32JEN,Default Response Set,8/7/17 13:20,2,Casual
60,73,Highly Satisfied,0,Reception,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,3,4,How satisfied were you with the following aspects of the restaurant experience?-Reception,3,R_bk3C15cyqF3IoJv,R_bk3C15cyqF3IoJv,Default Response Set,8/7/17 13:20,2,Casual
60,62,Dissatisfied,1,Reservation Process,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,1,2,How satisfied were you with the following aspects of the restaurant experience?-Reservation Process,1,R_1FVC9GgjykblJ5z,R_1FVC9GgjykblJ5z,Default Response Set,8/7/17 13:20,2,Casual
20,31,Highly Satisfied,0,Reservation Process,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,1,4,How satisfied were you with the following aspects of the restaurant experience?-Reservation Process,1,R_1XHUNhASYaUr2pn,R_1XHUNhASYaUr2pn,Default Response Set,8/7/17 13:20,2,Casual
40,51,Satisfied,0,Reservation Process,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,1,3,How satisfied were you with the following aspects of the restaurant experience?-Reservation Process,1,R_3kCIegfvjItATdz,R_3kCIegfvjItATdz,Default Response Set,8/7/17 13:20,2,Casual
40,50,Highly Satisfied,0,Reservation Process,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,1,4,How satisfied were you with the following aspects of the restaurant experience?-Reservation Process,1,R_b7sUnAB6Vr32JEN,R_b7sUnAB6Vr32JEN,Default Response Set,8/7/17 13:20,2,Casual
60,73,Highly Dissatisfied,1,Reservation Process,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,1,1,How satisfied were you with the following aspects of the restaurant experience?-Reservation Process,1,R_bk3C15cyqF3IoJv,R_bk3C15cyqF3IoJv,Default Response Set,8/7/17 13:20,2,Casual
60,62,Satisfied,0,Server,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,4,3,How satisfied were you with the following aspects of the restaurant experience?-Server,4,R_1FVC9GgjykblJ5z,R_1FVC9GgjykblJ5z,Default Response Set,8/7/17 13:20,2,Casual
20,31,Highly Dissatisfied,1,Server,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,4,1,How satisfied were you with the following aspects of the restaurant experience?-Server,4,R_1XHUNhASYaUr2pn,R_1XHUNhASYaUr2pn,Default Response Set,8/7/17 13:20,2,Casual
40,51,Highly Satisfied,0,Server,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,4,4,How satisfied were you with the following aspects of the restaurant experience?-Server,4,R_3kCIegfvjItATdz,R_3kCIegfvjItATdz,Default Response Set,8/7/17 13:20,2,Casual
40,50,Highly Dissatisfied,1,Server,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,4,1,How satisfied were you with the following aspects of the restaurant experience?-Server,4,R_b7sUnAB6Vr32JEN,R_b7sUnAB6Vr32JEN,Default Response Set,8/7/17 13:20,2,Casual
60,73,Dissatisfied,1,Server,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,4,2,How satisfied were you with the following aspects of the restaurant experience?-Server,4,R_bk3C15cyqF3IoJv,R_bk3C15cyqF3IoJv,Default Response Set,8/7/17 13:20,2,Casual
60,62,Dissatisfied,1,Waiting Time,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,2,2,How satisfied were you with the following aspects of the restaurant experience?-Waiting Time,2,R_1FVC9GgjykblJ5z,R_1FVC9GgjykblJ5z,Default Response Set,8/7/17 13:20,2,Casual
20,31,Dissatisfied,1,Waiting Time,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,2,2,How satisfied were you with the following aspects of the restaurant experience?-Waiting Time,2,R_1XHUNhASYaUr2pn,R_1XHUNhASYaUr2pn,Default Response Set,8/7/17 13:20,2,Casual
40,51,Highly Dissatisfied,1,Waiting Time,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,2,1,How satisfied were you with the following aspects of the restaurant experience?-Waiting Time,2,R_3kCIegfvjItATdz,R_3kCIegfvjItATdz,Default Response Set,8/7/17 13:20,2,Casual
40,50,Dissatisfied,1,Waiting Time,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,2,2,How satisfied were you with the following aspects of the restaurant experience?-Waiting Time,2,R_b7sUnAB6Vr32JEN,R_b7sUnAB6Vr32JEN,Default Response Set,8/7/17 13:20,2,Casual
60,73,Dissatisfied,1,Waiting Time,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,2,2,How satisfied were you with the following aspects of the restaurant experience?-Waiting Time,2,R_bk3C15cyqF3IoJv,R_bk3C15cyqF3IoJv,Default Response Set,8/7/17 13:20,2,Casual
60,68,Highly Dissatisfied,1,Cleanliness,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,6,1,How satisfied were you with the following aspects of the restaurant experience?-Cleanliness,6,R_740INwag4pgqf5j,R_740INwag4pgqf5j,Default Response Set,8/7/17 13:20,2,Frequent
60,71,Dissatisfied,1,Cleanliness,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,6,2,How satisfied were you with the following aspects of the restaurant experience?-Cleanliness,6,R_af6xd2jpCeL8Lop,R_af6xd2jpCeL8Lop,Default Response Set,8/7/17 13:20,2,Frequent
60,71,Highly Satisfied,0,Cleanliness,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,6,4,How satisfied were you with the following aspects of the restaurant experience?-Cleanliness,6,R_bjdzsNns4a8qGTH,R_bjdzsNns4a8qGTH,Default Response Set,8/7/17 13:20,2,Frequent
60,69,Highly Satisfied,0,Cleanliness,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,6,4,How satisfied were you with the following aspects of the restaurant experience?-Cleanliness,6,R_erpl8iSqyRhVFMF,R_erpl8iSqyRhVFMF,Default Response Set,8/7/17 13:20,2,Frequent
60,68,Highly Satisfied,0,Food,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,5,4,How satisfied were you with the following aspects of the restaurant experience?-Food,5,R_740INwag4pgqf5j,R_740INwag4pgqf5j,Default Response Set,8/7/17 13:20,2,Frequent
60,71,Highly Satisfied,0,Food,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,5,4,How satisfied were you with the following aspects of the restaurant experience?-Food,5,R_af6xd2jpCeL8Lop,R_af6xd2jpCeL8Lop,Default Response Set,8/7/17 13:20,2,Frequent
60,71,Highly Satisfied,0,Food,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,5,4,How satisfied were you with the following aspects of the restaurant experience?-Food,5,R_bjdzsNns4a8qGTH,R_bjdzsNns4a8qGTH,Default Response Set,8/7/17 13:20,2,Frequent
60,69,Highly Satisfied,0,Food,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,5,4,How satisfied were you with the following aspects of the restaurant experience?-Food,5,R_erpl8iSqyRhVFMF,R_erpl8iSqyRhVFMF,Default Response Set,8/7/17 13:20,2,Frequent
60,68,Dissatisfied,1,Reception,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,3,2,How satisfied were you with the following aspects of the restaurant experience?-Reception,3,R_740INwag4pgqf5j,R_740INwag4pgqf5j,Default Response Set,8/7/17 13:20,2,Frequent
60,71,Highly Dissatisfied,1,Reception,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,3,1,How satisfied were you with the following aspects of the restaurant experience?-Reception,3,R_af6xd2jpCeL8Lop,R_af6xd2jpCeL8Lop,Default Response Set,8/7/17 13:20,2,Frequent
60,71,Dissatisfied,1,Reception,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,3,2,How satisfied were you with the following aspects of the restaurant experience?-Reception,3,R_bjdzsNns4a8qGTH,R_bjdzsNns4a8qGTH,Default Response Set,8/7/17 13:20,2,Frequent
60,69,Highly Satisfied,0,Reception,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,3,4,How satisfied were you with the following aspects of the restaurant experience?-Reception,3,R_erpl8iSqyRhVFMF,R_erpl8iSqyRhVFMF,Default Response Set,8/7/17 13:20,2,Frequent
60,68,Highly Dissatisfied,1,Reservation Process,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,1,1,How satisfied were you with the following aspects of the restaurant experience?-Reservation Process,1,R_740INwag4pgqf5j,R_740INwag4pgqf5j,Default Response Set,8/7/17 13:20,2,Frequent
60,71,Highly Satisfied,0,Reservation Process,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,1,4,How satisfied were you with the following aspects of the restaurant experience?-Reservation Process,1,R_af6xd2jpCeL8Lop,R_af6xd2jpCeL8Lop,Default Response Set,8/7/17 13:20,2,Frequent
60,71,Highly Dissatisfied,1,Reservation Process,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,1,1,How satisfied were you with the following aspects of the restaurant experience?-Reservation Process,1,R_bjdzsNns4a8qGTH,R_bjdzsNns4a8qGTH,Default Response Set,8/7/17 13:20,2,Frequent
60,69,Dissatisfied,1,Reservation Process,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,1,2,How satisfied were you with the following aspects of the restaurant experience?-Reservation Process,1,R_erpl8iSqyRhVFMF,R_erpl8iSqyRhVFMF,Default Response Set,8/7/17 13:20,2,Frequent
60,68,Dissatisfied,1,Server,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,4,2,How satisfied were you with the following aspects of the restaurant experience?-Server,4,R_740INwag4pgqf5j,R_740INwag4pgqf5j,Default Response Set,8/7/17 13:20,2,Frequent
60,71,Satisfied,0,Server,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,4,3,How satisfied were you with the following aspects of the restaurant experience?-Server,4,R_af6xd2jpCeL8Lop,R_af6xd2jpCeL8Lop,Default Response Set,8/7/17 13:20,2,Frequent
60,71,Dissatisfied,1,Server,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,4,2,How satisfied were you with the following aspects of the restaurant experience?-Server,4,R_bjdzsNns4a8qGTH,R_bjdzsNns4a8qGTH,Default Response Set,8/7/17 13:20,2,Frequent
60,69,Dissatisfied,1,Server,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,4,2,How satisfied were you with the following aspects of the restaurant experience?-Server,4,R_erpl8iSqyRhVFMF,R_erpl8iSqyRhVFMF,Default Response Set,8/7/17 13:20,2,Frequent
60,68,Highly Satisfied,0,Waiting Time,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,2,4,How satisfied were you with the following aspects of the restaurant experience?-Waiting Time,2,R_740INwag4pgqf5j,R_740INwag4pgqf5j,Default Response Set,8/7/17 13:20,2,Frequent
60,71,Highly Satisfied,0,Waiting Time,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,2,4,How satisfied were you with the following aspects of the restaurant experience?-Waiting Time,2,R_af6xd2jpCeL8Lop,R_af6xd2jpCeL8Lop,Default Response Set,8/7/17 13:20,2,Frequent
60,71,Highly Satisfied,0,Waiting Time,,8/7/17 13:20,,1,Male,,-1,24.8527163,-64.3533057,Anonymous,1,2,4,How satisfied were you with the following aspects of the restaurant experience?-Waiting Time,2,R_bjdzsNns4a8qGTH,R_bjdzsNns4a8qGTH,Default Response Set,8/7/17 13:20,2,Frequent
